Candidate_ID,Resume,Skills
1001,"Python SQL Machine Learning Data Analysis Pandas NumPy Scikit-learn","Python;SQL;Machine Learning;Pandas;NumPy"
1002,"Python Deep Learning TensorFlow Keras NLP","Python;Deep Learning;TensorFlow;Keras;NLP"
1003,"Java Spring Boot MySQL REST API","Java;Spring Boot;MySQL;REST API"
1004,"Python Data Visualization Power BI Excel","Python;Power BI;Excel;Data Visualization"
1005,"C++ Embedded Systems ARM Microcontroller","C++;Embedded Systems;ARM;Microcontroller"
1006,"Python SQL Power BI Machine Learning","Python;SQL;Power BI;Machine Learning"
1007,"JavaScript React HTML CSS","JavaScript;React;HTML;CSS"
1008,"Python Pandas NumPy Statistics","Python;Pandas;NumPy;Statistics"
1009,"Python NLP Machine Learning SQL","Python;NLP;Machine Learning;SQL"
1010,"Python TensorFlow Deep Learning","Python;TensorFlow;Deep Learning"
1011,"Python SQL Excel","Python;SQL;Excel"
1012,"Python Machine Learning Data Analysis","Python;Machine Learning;Data Analysis"
1013,"Python Power BI Tableau","Python;Power BI;Tableau"
1014,"Python Scikit-learn SQL","Python;Scikit-learn;SQL"
1015,"Python Pandas Machine Learning","Python;Pandas;Machine Learning"
1016,"Python SQL Power BI","Python;SQL;Power BI"
1017,"Python Data Analysis Excel","Python;Data Analysis;Excel"
1018,"Python Deep Learning NLP","Python;Deep Learning;NLP"
1019,"Python Machine Learning SQL Power BI","Python;Machine Learning;SQL;Power BI"
1020,"Python Pandas NumPy SQL","Python;Pandas;NumPy;SQL"
